UUID,KOD,NAZEV,ZKRATKA,PODTRIDA
9ad6c9ce-b07b-4e37-8662-2bf091f97375,620000080,Archiv Vysoké školy báňské - Technické univerzity Ostrava,Archiv VŠB Ostrava,HEALTH_AND_EDU
a0a9af28-3460-44a2-a916-3aa1385d2bf3,620000090,Archiv Slezské univerzity v Opavě,Archiv SU v Opavě,HEALTH_AND_EDU
7a7b7d01-b450-4816-9940-bfc1333c4509,620000100,Archiv Mendelovy univerzity v Brně,Archiv MENDELU,HEALTH_AND_EDU
553be9d2-ccc1-40fb-a8e6-176cc5b3a4cc,620000110,Archiv Veterinární a farmaceutické univerzity Brno,AVFU Brno,HEALTH_AND_EDU
0fc3fa38-b5f0-44f6-a0ce-462a2a614c2d,630000010,Archiv Národního muzea,ANM,HEALTH_AND_EDU
ee1a3cbb-f6b0-412e-860f-65e3930afa6f,630000020,Literární archiv Památníku národního písemnictví,LA PNP Praha,HEALTH_AND_EDU
e9ceb79e-7679-4741-89f6-8834fa231e46,630000040,Archiv Národní galerie,Archiv NG Praha,HEALTH_AND_EDU
886df522-5987-4191-a528-445ce8fb199b,630000050,Archiv Národní knihovny,Archiv NK Praha,HEALTH_AND_EDU
1d4013f3-a6af-4425-b9fe-b50483e5a785,630000060,Archiv Národního technického muzea,Archiv NTM v Praze,HEALTH_AND_EDU
35fd090b-3186-4f11-88a6-951255c8557d,630000070,Archiv Moravské galerie v Brně,Archiv MG v Brně,HEALTH_AND_EDU
88617219-51c2-4941-9426-39858e5a0769,640000010,Archiv DIAMO,Archiv DIAMO,HEALTH_AND_EDU
211e6b1d-99b7-4664-a1b8-1ae658d6fc78,700000020,Archiv Bezpečnostní informační služby,Archiv BIS,PUBLIC_ADMINISTRATION
0756fe68-3ff1-49ec-a7a1-c6a7eac7d662,700000030,Archiv Úřadu pro zahraniční styky a informace,Archiv ÚZI,PUBLIC_ADMINISTRATION
60071f26-a5ea-49bd-bd1d-7ddf2d43d68c,700000040,Archiv Národního bezpečnostního úřadu,Archiv NBÚ,PUBLIC_ADMINISTRATION
a14e5d7b-83fe-46e8-a81b-e3fd513073cc,700000050,Bezpečnostní archiv Vojenského zpravodajství,BA Vojen.zpravodajství,PUBLIC_ADMINISTRATION
ee700a25-6195-4a80-b2a5-c43b691b36ca,700000060,Archiv Policie České republiky,BAP ČR,PUBLIC_ADMINISTRATION
1ec5ea44-cf34-4652-a70c-9d72ec2a9aa5,700000070,Archiv Ministerstva vnitra ČR,Archiv MV,PUBLIC_ADMINISTRATION
